Source,Relation,Target,Weight
Tiga kakak beradik,mengkhawatirkan,penyakit ibunya,1
penyakit ibunya,membutuhkan,obat yang ada di kawah gunung,1
Kedua kakak perempuan,berkonflik dengan;memberi legitimasi,putri bungsu,2
putri bungsu,merepresentasikan,kasih sayang dan tanggung jawab,1
putri bungsu,menikah,dengan pangeran,1
Tanggung jawab,diwujudkan,sebagai pengorbanan,1
Ular N’daung,membantu,putri bungsu,1
Ular N’daung,menjelma,menjadi pangeran,1
Pengorbanan,menjaga,keutuhan keluarga,1
Perebutan pangeran,mengancam,keutuhan keluarga,1
Kekuasaan,memicu,kekerasan simbolik,1
kekerasan simbolik,mengancam,keutuhan keluarga,1
